Name,Year,Target,shear_200_850,shear_500_850,shear_200_500,shear_300_800,shear_850_1000,RH_avg,SST_avg,ROCI,v_0,Lat,RMW
ADRIAN,2005,0,18.28453975265503,14.129517240753174,20.10016790908813,13.300172251434326,6.251502213478088,82.4216537475586,29.37935791015628,175.0,50.0,11.2,25.098421301031316
CINDY,2005,0,31.31694682800293,12.929608842773437,26.6962355128479,24.709756482543945,7.119420407562256,84.06689453125,29.390283203125023,200.0,45.0,26.4,41.139048026560104
FRANKLIN,2005,0,18.08142365890503,13.477850634918212,22.71875605773926,13.407937715072633,4.888327261123657,64.2379379272461,29.282098388671898,300.0,45.0,28.1,70.04736543275078
JOHN,2006,1,21.958833660736083,12.404298436431883,22.341645061798097,14.869288010482787,6.504639130439759,85.4984130859375,29.052911376953148,150.0,30.0,12.7,36.250973812292635
LANE,2006,1,20.91879057540893,14.841342121963502,22.01324055175781,14.23772854095459,7.811165959320069,91.96178436279295,29.422662353515648,125.0,45.0,17.6,20.57570761464314
ERNESTO,2006,0,24.241170205078124,15.66816502960205,15.902335818176269,24.53442314376831,7.611321805419922,79.30107879638672,28.86214599609372,150.0,55.0,15.7,20.093500038308033
ALBERTO,2006,0,31.74106809173584,17.327961721038818,31.74189488220215,30.281794041442872,5.251190951843261,68.01300811767578,27.7006774902344,225.0,40.0,25.0,53.19975277820255
BERYL,2006,0,21.79296021377564,8.123402637405395,19.12836099029541,21.04076441467285,4.860476379356384,72.75360107421875,27.03048095703128,150.0,35.0,34.5,39.05837534945308
GORDON,2006,1,29.272507190704346,8.426541839675904,24.62911660522461,21.335769185180663,3.7672406356430055,82.23162841796875,28.721368408203148,120.0,50.0,22.8,18.475573184859822
HELENE,2006,1,37.8233206427002,11.229854628677368,31.651648663635253,22.72031324157715,17.467553983154296,79.02277374267578,27.732568359375023,300.0,70.0,19.4,37.42539002847335
PAUL,2006,1,17.887357769317628,8.739593258590698,17.138118765716552,16.583244111938477,7.140504954795837,77.31059265136719,28.7241149902344,180.0,45.0,15.8,31.502859516322474
CHRIS,2006,0,25.11193257690429,10.233903945236206,20.927881562957765,17.798859674987792,5.459922176361084,72.49966430664062,28.32015380859372,100.0,50.0,17.7,14.022569066229991
GORDON,2006,0,32.4169711517334,10.259546499328613,24.57942946426392,20.06253411254883,7.4718778465271,82.31463623046875,28.468194580078148,200.0,80.0,25.6,20.081500391500615
INGRID,2007,0,28.87936832397461,17.584437314300537,21.86876725982666,25.787529761505127,7.916524276275635,75.55071258544922,27.96651611328128,150.0,35.0,14.7,32.09323720601024
FELIX,2007,1,19.15389509765625,12.065917753982545,13.751263383102415,16.44937079284668,5.212401780509949,80.80721282958984,28.736627197265648,120.0,30.0,11.5,27.441481347281492
DEAN,2007,1,25.247566996765137,12.288079689102172,19.239655143737792,20.49393521072388,8.497782073364258,84.15857696533203,27.2560974121094,180.0,50.0,12.3,26.494785945650992
BARRY,2007,0,32.970898518676755,16.27341458053589,20.592938734588625,30.088113740234377,8.21026290802002,80.45858764648438,27.418145751953148,190.0,30.0,22.3,54.420289436448634
GABRIELLE,2007,0,21.8321771472168,12.442276111068724,13.483187697143554,19.11307463562012,7.105097096939087,66.13636779785156,27.987725830078148,200.0,40.0,32.6,48.93166937327639
ERIN,2007,0,28.593311799163818,13.855593773345948,21.30834235794068,18.6938770388794,11.739189070358275,76.30435180664062,30.2,90.0,20.0,34.0,33.06822268013422
OLGA,2007,0,37.47476357849121,13.883762116699218,30.07720047683716,27.301429450073243,7.475811589508057,71.34817504882812,27.446405029296898,200.0,40.0,18.5,42.34091851657051
KAREN,2007,0,20.61997626586914,12.102704368362426,15.426496586227415,20.016237554016115,7.538885876998902,87.98631286621094,28.047540283203148,175.0,40.0,10.9,31.721152673069103
NOEL,2007,0,61.05318892700196,21.18405869598389,45.91757335479736,42.51914568634033,21.5052538156128,81.80089569091797,25.261346435546898,400.0,70.0,32.3,57.395831580778214
LORENZO,2007,0,22.631996818695068,13.809640166015624,24.189512485046382,16.683584218597414,6.228213509597778,80.40471649169922,29.158258056640648,100.0,45.0,20.6,16.205938534122904
HENRIETTE,2007,0,26.07123197265625,8.546613690109252,25.45010285415649,16.468685433807373,11.001933894042969,88.54192352294922,28.189874267578148,190.0,60.0,20.3,25.915240028918145
ANDREA,2007,0,54.09452365142823,42.59136194061279,22.566470893554687,55.87618666229248,10.82357146194458,69.38372039794922,20.785577392578148,,40.0,35.0,
FLOSSIE,2007,1,20.74427661193848,13.437298045578004,22.585870808868407,15.015979362487792,9.230185880508422,81.06306457519531,26.95626220703128,180.0,55.0,12.6,23.93390452793089
HUMBERTO,2007,1,20.756943560943604,7.376444259300232,16.549872179260255,12.18616108001709,4.649856605987549,78.28311920166016,29.6716247558594,180.0,25.0,27.3,61.3587350801286
DOLLY,2008,1,30.68321935073853,16.0616116255188,26.176885042266846,20.304234997253417,9.546562999191284,81.10233306884766,29.2241149902344,240.0,55.0,23.7,40.31827088741966
KYLE,2008,0,37.877503225097655,24.994863866729737,21.12421093048096,39.9464703616333,13.74669286315918,75.4640121459961,25.922937011718773,175.0,70.0,35.3,21.90926941113787
CRISTOBAL,2008,0,32.71063748565674,19.49644773513793,22.0943494380188,29.95174151184082,10.928692493743895,66.58334350585938,27.209130859375023,140.0,45.0,34.9,27.959356177520625
EDOUARD,2008,0,25.088828788604737,13.41530931213379,28.49924491882324,13.70997669281006,5.976654168167114,70.23136138916016,29.357476806640648,150.0,40.0,28.3,32.74385946201239
FAY,2008,0,32.47740842254639,11.301494354171751,25.13814146392822,20.48030614456177,10.658159608764649,81.54086303710938,29.551934814453148,200.0,55.0,25.5,32.549256936122376
KALMAEGI,2008,1,33.873319920959474,15.376145788345337,28.76998913589477,22.929493083343505,12.438334952926636,88.89972686767578,29.231835937500023,180.0,45.0,18.8,32.89914236087836
BERTHA,2008,1,26.45599912246704,10.302980805664063,17.65343168106079,21.301064377288817,8.550836624374389,85.24041748046875,26.239129638671898,180.0,45.0,17.6,32.354551371746695
NURI,2008,1,21.002498475646973,10.494377237243652,16.0174765864563,18.50365220275879,5.763232390785217,87.50296020507812,29.871026611328148,170.0,35.0,15.9,38.05137531251288
GUSTAV,2008,1,15.917008568267825,11.789844816741944,18.512865540466308,12.234213177947998,5.855110871696472,83.71141815185547,29.266503906250023,180.0,25.0,13.5,53.75533685218651
PALOMA,2008,1,27.04971439025879,14.60209936317444,18.94518055725098,18.13763058029175,8.965132799606323,88.19377899169922,28.425225830078148,180.0,25.0,13.7,53.89787130792714
OMAR,2008,1,22.377247104187013,18.52127247940064,16.983045500946044,26.078183686218264,4.103844460105896,83.94635009765625,29.473291015625023,150.0,30.0,14.8,37.32448969681367
IKE,2008,1,30.18133343841553,11.347116133041382,28.113825234832763,17.916299143218993,8.71423896888733,83.92298126220703,27.597528076171898,250.0,50.0,19.6,45.072671241485004
HANNA,2008,1,34.90844675445557,15.675298414611817,23.63228722518921,28.40573602935791,8.615430093002319,82.22345733642578,29.2521911621094,220.0,40.0,23.6,50.9307954335873
JANGMI,2008,1,32.64781624053955,14.876458471298218,26.101068727264405,28.19066298828125,10.672616392288209,85.87614440917969,29.623559570312523,215.0,45.0,13.2,37.64469522768841
SINLAKU,2008,1,21.943619603881835,10.584661458511352,19.25727171279907,17.892518721466065,4.268460110359192,87.22406005859375,29.60909423828128,185.0,40.0,15.8,36.89952390232852
HAGUPIT,2008,1,22.271701554412843,19.307574312133788,23.45967154296875,19.864163721923827,14.585572822799683,87.53416442871094,29.203637695312523,290.0,55.0,17.2,47.14324745135192
NORBERT,2008,1,28.840088361663817,14.343924771118164,21.41394908279419,31.758415861206053,8.830068420257568,81.69933319091797,27.8434997558594,240.0,60.0,14.6,32.01172580232982
CLAUDETTE,2009,0,21.505954548339844,12.871733510131836,22.0774743850708,13.969233898391725,7.868722440032959,74.05423736572266,30.612420654296898,90.0,30.0,27.0,22.689902125708922
ANA,2009,0,21.296257499084472,14.382850659484864,14.422223311309814,15.830964892272949,8.951926397628784,76.38076782226562,27.535913085937523,150.0,30.0,14.6,37.22502182815525
DANNY,2009,0,20.73419013900757,14.20174183708191,18.545134467926022,17.852222882080078,5.184040179519654,76.79916381835938,28.982934570312523,150.0,40.0,24.6,31.619457809079595
FELICIA,2009,1,25.498297693939207,10.89403959197998,18.914326071777342,16.239994449310302,8.407644301528931,91.3769302368164,28.237603759765648,120.0,35.0,10.6,23.210615506308358
RICK,2009,1,19.60348743988037,8.849816848144531,17.891437961730958,12.09437714241028,6.010230944671631,84.58860778808594,29.143365478515648,175.0,35.0,10.6,36.17600785001067
BILL,2009,0,31.23224714996337,15.23901999420166,29.4066400404358,17.44104478210449,19.803472481842043,88.59830474853516,27.572076416015648,240.0,100.0,16.2,16.665103085928894
ANDRES,2009,0,36.80589750640869,23.92674141998291,23.88612487487793,29.745705698394776,14.022426556777956,87.39326477050781,29.29586181640628,120.0,55.0,16.2,15.423553368242096
JIMENA,2009,1,20.11905432449341,11.5113981010437,15.488046131210329,16.048642508697508,6.591016488685608,87.77490997314453,29.8854919433594,120.0,25.0,13.5,33.46010397791346
MEGI,2010,1,29.431301012573243,11.219563311920163,26.545533485565187,19.808186670532223,5.074442707633972,85.45433807373047,29.706109619140648,150.0,35.0,12.0,30.817050237308344
OTTO,2010,0,29.13947178482056,14.17048415222168,19.663863535614013,26.25917293914795,9.781512379684449,86.29376983642578,27.668542480468773,280.0,65.0,25.2,40.31585098581766
RICHARD,2010,0,23.00350936798096,8.50186875404358,25.17014159179688,12.527223270111085,8.753676503372192,80.57897186279297,28.233026123046898,130.0,75.0,16.8,11.871462684491663
IGOR,2010,1,23.161405955352784,18.296048082733154,19.989570780792235,21.70142190338135,5.433029240722656,84.4011459350586,27.955499267578148,90.0,30.0,15.9,20.679429628610876
